trip_id,driver_id,pickup_time,pickup_zone,drop_zone,distance_km,surge_multiplier,fare,pickup_hour,day_of_week,month
1,203,2026-01-01 00:00:00,Jayanagar,Whitefield,4.08,1.5,167.0,00,4,01
2,536,2026-01-01 00:15:00,Jayanagar,Whitefield,18.09,1.0,321.0,00,4,01
3,449,2026-01-01 00:30:00,Koramangala,Whitefield,18.6,1.0,329.0,00,4,01
4,371,2026-01-01 00:45:00,MG Road,Jayanagar,5.97,1.0,140.0,00,4,01
5,207,2026-01-01 01:00:00,MG Road,Whitefield,2.65,1.0,90.0,01,4,01
6,172,2026-01-01 01:15:00,MG Road,MG Road,11.39,1.0,221.0,01,4,01
7,289,2026-01-01 01:30:00,Indiranagar,Whitefield,15.4,1.0,281.0,01,4,01
8,121,2026-01-01 01:45:00,Whitefield,Indiranagar,18.24,1.2,388.0,01,4,01
9,203,2026-01-01 02:00:00,Jayanagar,MG Road,20.63,1.0,359.0,02,4,01
10,222,2026-01-01 02:15:00,MG Road,Indiranagar,16.04,1.0,291.0,02,4,01
11,567,2026-01-01 02:30:00,Koramangala,MG Road,4.55,1.0,118.0,02,4,01
12,315,2026-01-01 02:45:00,MG Road,Koramangala,17.7,1.0,316.0,02,4,01
13,431,2026-01-01 03:00:00,Whitefield,MG Road,24.64,1.0,420.0,03,4,01
14,559,2026-01-01 03:15:00,Whitefield,MG Road,22.83,1.0,392.0,03,4,01
15,188,2026-01-01 03:30:00,Jayanagar,Indiranagar,22.05,1.0,381.0,03,4,01
16,473,2026-01-01 03:45:00,Indiranagar,Indiranagar,8.95,1.0,184.0,03,4,01
17,200,2026-01-01 04:00:00,Jayanagar,MG Road,19.27,1.0,339.0,04,4,01
18,460,2026-01-01 04:15:00,MG Road,MG Road,21.58,1.5,561.0,04,4,01
19,252,2026-01-01 04:30:00,Koramangala,Jayanagar,17.6,1.0,314.0,04,4,01
20,231,2026-01-01 04:45:00,Jayanagar,Koramangala,7.76,1.2,200.0,04,4,01
21,250,2026-01-01 05:00:00,Indiranagar,Koramangala,23.94,1.0,409.0,05,4,01
22,409,2026-01-01 05:15:00,Jayanagar,Whitefield,12.37,1.0,236.0,05,4,01
23,358,2026-01-01 05:30:00,Whitefield,MG Road,4.99,1.0,125.0,05,4,01
24,444,2026-01-01 05:45:00,MG Road,MG Road,4.52,1.5,177.0,05,4,01
25,592,2026-01-01 06:00:00,MG Road,MG Road,16.89,1.0,303.0,06,4,01
26,514,2026-01-01 06:15:00,MG Road,MG Road,12.07,1.2,277.0,06,4,01
27,394,2026-01-01 06:30:00,MG Road,Koramangala,4.17,1.2,135.0,06,4,01
28,486,2026-01-01 06:45:00,MG Road,Indiranagar,19.03,1.0,335.0,06,4,01
29,292,2026-01-01 07:00:00,MG Road,Jayanagar,20.38,1.5,534.0,07,4,01
30,544,2026-01-01 07:15:00,Koramangala,Indiranagar,18.68,1.0,330.0,07,4,01
31,377,2026-01-01 07:30:00,Indiranagar,Indiranagar,6.65,1.0,150.0,07,4,01
32,261,2026-01-01 07:45:00,MG Road,Koramangala,17.86,1.0,318.0,07,4,01
33,560,2026-01-01 08:00:00,Indiranagar,Jayanagar,2.25,1.0,84.0,08,4,01
34,414,2026-01-01 08:15:00,MG Road,MG Road,9.02,1.0,185.0,08,4,01
35,122,2026-01-01 08:30:00,Jayanagar,Koramangala,11.17,1.2,261.0,08,4,01
36,353,2026-01-01 08:45:00,MG Road,Koramangala,21.21,1.0,368.0,08,4,01
37,336,2026-01-01 09:00:00,Whitefield,Jayanagar,10.98,1.2,258.0,09,4,01
