trip_id,driver_id,pickup_time,pickup_zone,drop_zone,distance_km,surge_multiplier,fare,drop_time
1,203,2026-01-01 00:00:00,Jayanagar,Whitefield,4.08,1.5,167.0,2026-01-01 00:12:00
2,536,2026-01-01 00:15:00,Jayanagar,Whitefield,18.09,1.0,321.0,2026-01-01 01:09:00
3,449,2026-01-01 00:30:00,Koramangala,Whitefield,18.6,1.0,329.0,2026-01-01 01:25:00
4,371,2026-01-01 00:45:00,MG Road,Jayanagar,5.97,1.0,140.0,2026-01-01 01:02:00
5,207,2026-01-01 01:00:00,MG Road,Whitefield,2.65,1.0,90.0,2026-01-01 01:07:00
6,172,2026-01-01 01:15:00,MG Road,MG Road,11.39,1.0,221.0,2026-01-01 01:49:00
7,289,2026-01-01 01:30:00,Indiranagar,Whitefield,15.4,1.0,281.0,2026-01-01 02:16:00
8,121,2026-01-01 01:45:00,Whitefield,Indiranagar,18.24,1.2,388.0,2026-01-01 02:39:00
9,203,2026-01-01 02:00:00,Jayanagar,MG Road,20.63,1.0,359.0,2026-01-01 03:01:00
10,222,2026-01-01 02:15:00,MG Road,Indiranagar,16.04,1.0,291.0,2026-01-01 03:03:00
11,567,2026-01-01 02:30:00,Koramangala,MG Road,4.55,1.0,118.0,2026-01-01 02:43:00
12,315,2026-01-01 02:45:00,MG Road,Koramangala,17.7,1.0,316.0,2026-01-01 03:38:00
13,431,2026-01-01 03:00:00,Whitefield,MG Road,24.64,1.0,420.0,2026-01-01 04:13:00
14,559,2026-01-01 03:15:00,Whitefield,MG Road,22.83,1.0,392.0,2026-01-01 04:23:00
15,188,2026-01-01 03:30:00,Jayanagar,Indiranagar,22.05,1.0,381.0,2026-01-01 04:36:00
16,473,2026-01-01 03:45:00,Indiranagar,Indiranagar,8.95,1.0,184.0,2026-01-01 04:11:00
17,200,2026-01-01 04:00:00,Jayanagar,MG Road,19.27,1.0,339.0,2026-01-01 04:57:00
18,460,2026-01-01 04:15:00,MG Road,MG Road,21.58,1.5,561.0,2026-01-01 05:19:00
19,252,2026-01-01 04:30:00,Koramangala,Jayanagar,17.6,1.0,314.0,2026-01-01 05:22:00
20,231,2026-01-01 04:45:00,Jayanagar,Koramangala,7.76,1.2,200.0,2026-01-01 05:08:00
21,250,2026-01-01 05:00:00,Indiranagar,Koramangala,23.94,1.0,409.0,2026-01-01 06:11:00
22,409,2026-01-01 05:15:00,Jayanagar,Whitefield,12.37,1.0,236.0,2026-01-01 05:52:00
23,358,2026-01-01 05:30:00,Whitefield,MG Road,4.99,1.0,125.0,2026-01-01 05:44:00
24,444,2026-01-01 05:45:00,MG Road,MG Road,4.52,1.5,177.0,2026-01-01 05:58:00
25,592,2026-01-01 06:00:00,MG Road,MG Road,16.89,1.0,303.0,2026-01-01 06:50:00
26,514,2026-01-01 06:15:00,MG Road,MG Road,12.07,1.2,277.0,2026-01-01 06:51:00
27,394,2026-01-01 06:30:00,MG Road,Koramangala,4.17,1.2,135.0,2026-01-01 06:42:00
28,486,2026-01-01 06:45:00,MG Road,Indiranagar,19.03,1.0,335.0,2026-01-01 07:42:00
29,292,2026-01-01 07:00:00,MG Road,Jayanagar,20.38,1.5,534.0,2026-01-01 08:01:00
30,544,2026-01-01 07:15:00,Koramangala,Indiranagar,18.68,1.0,330.0,2026-01-01 08:11:00
31,377,2026-01-01 07:30:00,Indiranagar,Indiranagar,6.65,1.0,150.0,2026-01-01 07:49:00
32,261,2026-01-01 07:45:00,MG Road,Koramangala,17.86,1.0,318.0,2026-01-01 08:38:00
33,560,2026-01-01 08:00:00,Indiranagar,Jayanagar,2.25,1.0,84.0,2026-01-01 08:06:00
34,414,2026-01-01 08:15:00,MG Road,MG Road,9.02,1.0,185.0,2026-01-01 08:42:00
35,122,2026-01-01 08:30:00,Jayanagar,Koramangala,11.17,1.2,261.0,2026-01-01 09:03:00
36,353,2026-01-01 08:45:00,MG Road,Koramangala,21.21,1.0,368.0,2026-01-01 09:48:00
37,336,2026-01-01 09:00:00,Whitefield,Jayanagar,10.98,1.2,258.0,2026-01-01 09:32:00
38,445,2026-01-01 09:15:00,Koramangala,Whitefield,2.26,1.0,84.0,2026-01-01 09:21:00
39,149,2026-01-01 09:30:00,Jayanagar,Koramangala,10.1,2.0,403.0,2026-01-01 10:00:00
40,575,2026-01-01 09:45:00,Jayanagar,Indiranagar,13.48,1.0,252.0,2026-01-01 10:25:00
41,159,2026-01-01 10:00:00,Whitefield,Indiranagar,23.83,1.2,489.0,2026-01-01 11:11:00
42,270,2026-01-01 10:15:00,MG Road,MG Road,23.64,1.2,486.0,2026-01-01 11:25:00
43,576,2026-01-01 10:30:00,Koramangala,Koramangala,6.16,1.0,142.0,2026-01-01 10:48:00
44,288,2026-01-01 10:45:00,Jayanagar,MG Road,6.26,1.0,144.0,2026-01-01 11:03:00
45,564,2026-01-01 11:00:00,Koramangala,Koramangala,5.76,1.0,136.0,2026-01-01 11:17:00
46,371,2026-01-01 11:15:00,Jayanagar,Jayanagar,20.15,1.0,352.0,2026-01-01 12:15:00
47,290,2026-01-01 11:30:00,MG Road,Koramangala,2.14,1.0,82.0,2026-01-01 11:36:00
48,546,2026-01-01 11:45:00,Jayanagar,Whitefield,4.93,1.2,149.0,2026-01-01 11:59:00
49,275,2026-01-01 12:00:00,Jayanagar,Indiranagar,14.37,1.0,266.0,2026-01-01 12:43:00
50,546,2026-01-01 12:15:00,Indiranagar,Jayanagar,7.69,1.0,165.0,2026-01-01 12:38:00
51,151,2026-01-01 12:30:00,MG Road,Indiranagar,4.12,1.0,112.0,2026-01-01 12:42:00
52,464,2026-01-01 12:45:00,Whitefield,MG Road,10.28,1.5,306.0,2026-01-01 13:15:00
53,155,2026-01-01 13:00:00,Whitefield,Jayanagar,8.31,1.0,175.0,2026-01-01 13:24:00
54,344,2026-01-01 13:15:00,MG Road,Whitefield,13.76,1.0,256.0,2026-01-01 13:56:00
55,420,2026-01-01 13:30:00,Whitefield,Indiranagar,24.52,1.0,418.0,2026-01-01 14:43:00
56,231,2026-01-01 13:45:00,MG Road,Koramangala,4.86,1.0,123.0,2026-01-01 13:59:00
57,585,2026-01-01 14:00:00,Whitefield,Koramangala,10.57,1.2,250.0,2026-01-01 14:31:00
58,407,2026-01-01 14:15:00,Indiranagar,Koramangala,23.44,1.2,482.0,2026-01-01 15:25:00
59,235,2026-01-01 14:30:00,Whitefield,Jayanagar,22.17,1.2,459.0,2026-01-01 15:36:00
60,121,2026-01-01 14:45:00,Jayanagar,Whitefield,11.07,1.0,216.0,2026-01-01 15:18:00
61,429,2026-01-01 15:00:00,MG Road,Whitefield,18.08,2.0,642.0,2026-01-01 15:54:00
62,267,2026-01-01 15:15:00,Koramangala,Whitefield,4.02,1.0,110.0,2026-01-01 15:27:00
63,374,2026-01-01 15:30:00,Koramangala,Indiranagar,18.39,1.0,326.0,2026-01-01 16:25:00
64,488,2026-01-01 15:45:00,MG Road,Jayanagar,24.38,1.0,416.0,2026-01-01 16:58:00
65,189,2026-01-01 16:00:00,Indiranagar,Koramangala,14.36,1.0,265.0,2026-01-01 16:43:00
66,416,2026-01-01 16:15:00,Whitefield,Indiranagar,13.47,1.0,252.0,2026-01-01 16:55:00
67,114,2026-01-01 16:30:00,Indiranagar,Whitefield,6.31,1.0,145.0,2026-01-01 16:48:00
68,342,2026-01-01 16:45:00,Koramangala,Koramangala,16.58,1.0,299.0,2026-01-01 17:34:00
69,365,2026-01-01 17:00:00,MG Road,Jayanagar,15.58,1.0,284.0,2026-01-01 17:46:00
70,446,2026-01-01 17:15:00,MG Road,MG Road,16.99,1.5,457.0,2026-01-01 18:05:00
71,153,2026-01-01 17:30:00,Indiranagar,Whitefield,2.6,2.0,178.0,2026-01-01 17:37:00
72,486,2026-01-01 17:45:00,Indiranagar,Whitefield,14.62,1.0,269.0,2026-01-01 18:28:00
73,440,2026-01-01 18:00:00,Whitefield,Whitefield,15.68,1.5,428.0,2026-01-01 18:47:00
74,192,2026-01-01 18:15:00,Jayanagar,Whitefield,6.77,1.5,227.0,2026-01-01 18:35:00
75,467,2026-01-01 18:30:00,Jayanagar,Koramangala,6.79,2.0,304.0,2026-01-01 18:50:00
76,544,2026-01-01 18:45:00,Whitefield,Jayanagar,8.35,1.0,175.0,2026-01-01 19:10:00
77,555,2026-01-01 19:00:00,Jayanagar,Indiranagar,18.37,1.2,391.0,2026-01-01 19:55:00
78,528,2026-01-01 19:15:00,Koramangala,Koramangala,15.94,1.0,289.0,2026-01-01 20:02:00
79,364,2026-01-01 19:30:00,Jayanagar,Jayanagar,21.45,1.2,446.0,2026-01-01 20:34:00
80,531,2026-01-01 19:45:00,Whitefield,Indiranagar,8.8,1.2,218.0,2026-01-01 20:11:00
81,135,2026-01-01 20:00:00,Jayanagar,Whitefield,22.98,1.2,474.0,2026-01-01 21:08:00
82,306,2026-01-01 20:15:00,MG Road,Jayanagar,19.11,1.0,337.0,2026-01-01 21:12:00
83,181,2026-01-01 20:30:00,Indiranagar,Whitefield,11.09,1.5,325.0,2026-01-01 21:03:00
84,520,2026-01-01 20:45:00,Koramangala,Jayanagar,4.19,1.0,113.0,2026-01-01 20:57:00
85,150,2026-01-01 21:00:00,MG Road,MG Road,7.91,1.0,169.0,2026-01-01 21:23:00
86,460,2026-01-01 21:15:00,MG Road,Whitefield,24.01,1.0,410.0,2026-01-01 22:27:00
87,488,2026-01-01 21:30:00,Whitefield,Whitefield,9.14,1.5,281.0,2026-01-01 21:57:00
88,102,2026-01-01 21:45:00,Indiranagar,Whitefield,9.59,2.0,388.0,2026-01-01 22:13:00
89,490,2026-01-01 22:00:00,Indiranagar,Koramangala,6.36,1.2,174.0,2026-01-01 22:19:00
90,154,2026-01-01 22:15:00,Koramangala,Indiranagar,20.56,1.0,358.0,2026-01-01 23:16:00
91,206,2026-01-01 22:30:00,Whitefield,Whitefield,8.34,1.0,175.0,2026-01-01 22:55:00
92,360,2026-01-01 22:45:00,Koramangala,Whitefield,9.6,1.0,194.0,2026-01-01 23:13:00
93,410,2026-01-01 23:00:00,Jayanagar,Koramangala,11.53,1.0,223.0,2026-01-01 23:34:00
94,577,2026-01-01 23:15:00,MG Road,Koramangala,11.98,1.0,230.0,2026-01-01 23:50:00
95,291,2026-01-01 23:30:00,Koramangala,MG Road,11.46,1.0,222.0,2026-01-02 00:04:00
96,502,2026-01-01 23:45:00,MG Road,Jayanagar,13.59,1.0,254.0,2026-01-02 00:25:00
97,318,2026-01-02 00:00:00,Whitefield,Whitefield,20.73,1.5,541.0,2026-01-02 01:02:00
98,144,2026-01-02 00:15:00,Jayanagar,Jayanagar,20.84,1.2,435.0,2026-01-02 01:17:00
99,262,2026-01-02 00:30:00,Whitefield,Koramangala,20.36,1.2,426.0,2026-01-02 01:31:00
100,302,2026-01-02 00:45:00,Jayanagar,Koramangala,4.33,1.0,115.0,2026-01-02 00:57:00
101,546,2026-01-02 01:00:00,Jayanagar,MG Road,20.39,1.0,356.0,2026-01-02 02:01:00
102,584,2026-01-02 01:15:00,MG Road,Indiranagar,4.77,1.0,122.0,2026-01-02 01:29:00
103,370,2026-01-02 01:30:00,Whitefield,Koramangala,4.87,1.0,123.0,2026-01-02 01:44:00
104,451,2026-01-02 01:45:00,Whitefield,Whitefield,23.8,1.2,488.0,2026-01-02 02:56:00
105,404,2026-01-02 02:00:00,Koramangala,MG Road,20.85,1.0,363.0,2026-01-02 03:02:00
106,371,2026-01-02 02:15:00,Whitefield,Indiranagar,14.71,1.5,406.0,2026-01-02 02:59:00
107,556,2026-01-02 02:30:00,Koramangala,MG Road,22.12,1.5,573.0,2026-01-02 03:36:00
108,562,2026-01-02 02:45:00,Indiranagar,Koramangala,24.76,1.0,421.0,2026-01-02 03:59:00
109,315,2026-01-02 03:00:00,Indiranagar,Indiranagar,16.04,1.0,291.0,2026-01-02 03:48:00
110,352,2026-01-02 03:15:00,Indiranagar,Jayanagar,16.1,1.5,437.0,2026-01-02 04:03:00
111,290,2026-01-02 03:30:00,Whitefield,Indiranagar,19.35,1.2,408.0,2026-01-02 04:28:00
112,396,2026-01-02 03:45:00,Whitefield,Whitefield,7.34,1.2,192.0,2026-01-02 04:07:00
113,313,2026-01-02 04:00:00,Koramangala,Jayanagar,5.84,1.2,165.0,2026-01-02 04:17:00
114,308,2026-01-02 04:15:00,Jayanagar,Jayanagar,19.47,1.0,342.0,2026-01-02 05:13:00
115,337,2026-01-02 04:30:00,Koramangala,Whitefield,9.93,1.0,199.0,2026-01-02 04:59:00
116,438,2026-01-02 04:45:00,Indiranagar,Jayanagar,5.11,1.0,127.0,2026-01-02 05:00:00
117,467,2026-01-02 05:00:00,Koramangala,Koramangala,9.24,1.0,189.0,2026-01-02 05:27:00
118,153,2026-01-02 05:15:00,Jayanagar,Indiranagar,10.25,1.0,204.0,2026-01-02 05:45:00
119,380,2026-01-02 05:30:00,Whitefield,Indiranagar,24.2,1.0,413.0,2026-01-02 06:42:00
120,510,2026-01-02 05:45:00,Koramangala,Whitefield,18.05,1.5,481.0,2026-01-02 06:39:00
121,317,2026-01-02 06:00:00,Indiranagar,Koramangala,14.21,1.0,263.0,2026-01-02 06:42:00
122,352,2026-01-02 06:15:00,Indiranagar,Jayanagar,24.28,1.0,414.0,2026-01-02 07:27:00
123,288,2026-01-02 06:30:00,Whitefield,Indiranagar,22.77,1.0,392.0,2026-01-02 07:38:00
124,480,2026-01-02 06:45:00,Koramangala,Indiranagar,13.78,1.0,257.0,2026-01-02 07:26:00
125,593,2026-01-02 07:00:00,Jayanagar,Indiranagar,22.83,1.0,392.0,2026-01-02 08:08:00
126,141,2026-01-02 07:15:00,Whitefield,Indiranagar,11.3,1.2,263.0,2026-01-02 07:48:00
127,257,2026-01-02 07:30:00,Koramangala,MG Road,7.3,1.5,239.0,2026-01-02 07:51:00
128,115,2026-01-02 07:45:00,MG Road,Whitefield,7.35,1.0,160.0,2026-01-02 08:07:00
129,401,2026-01-02 08:00:00,Indiranagar,Jayanagar,17.23,1.0,308.0,2026-01-02 08:51:00
130,165,2026-01-02 08:15:00,Jayanagar,Jayanagar,13.52,1.2,303.0,2026-01-02 08:55:00
131,445,2026-01-02 08:30:00,Jayanagar,Whitefield,17.16,1.0,307.0,2026-01-02 09:21:00
132,427,2026-01-02 08:45:00,Jayanagar,Koramangala,17.78,1.0,317.0,2026-01-02 09:38:00
133,109,2026-01-02 09:00:00,Indiranagar,Whitefield,2.51,1.0,88.0,2026-01-02 09:07:00
134,444,2026-01-02 09:15:00,Koramangala,Indiranagar,3.24,1.5,148.0,2026-01-02 09:24:00
135,229,2026-01-02 09:30:00,Whitefield,Indiranagar,14.25,1.0,264.0,2026-01-02 10:12:00
136,592,2026-01-02 09:45:00,Koramangala,Whitefield,6.39,1.5,219.0,2026-01-02 10:04:00
137,236,2026-01-02 10:00:00,Whitefield,Whitefield,16.55,1.0,298.0,2026-01-02 10:49:00
138,572,2026-01-02 10:15:00,Jayanagar,Jayanagar,14.7,1.0,270.0,2026-01-02 10:59:00
139,163,2026-01-02 10:30:00,Koramangala,Jayanagar,15.47,1.2,338.0,2026-01-02 11:16:00
140,239,2026-01-02 10:45:00,Jayanagar,MG Road,8.96,1.0,184.0,2026-01-02 11:11:00
141,599,2026-01-02 11:00:00,MG Road,MG Road,16.72,1.0,301.0,2026-01-02 11:50:00
142,181,2026-01-02 11:15:00,Jayanagar,Indiranagar,21.08,1.0,366.0,2026-01-02 12:18:00
143,492,2026-01-02 11:30:00,Jayanagar,MG Road,24.96,1.0,424.0,2026-01-02 12:44:00
144,263,2026-01-02 11:45:00,Whitefield,MG Road,21.28,1.0,369.0,2026-01-02 12:48:00
145,519,2026-01-02 12:00:00,MG Road,Koramangala,14.82,1.2,327.0,2026-01-02 12:44:00
146,389,2026-01-02 12:15:00,Jayanagar,Whitefield,6.45,1.2,176.0,2026-01-02 12:34:00
147,479,2026-01-02 12:30:00,Jayanagar,Jayanagar,17.67,2.0,630.0,2026-01-02 13:23:00
148,361,2026-01-02 12:45:00,MG Road,MG Road,23.57,1.2,484.0,2026-01-02 13:55:00
149,590,2026-01-02 13:00:00,MG Road,Jayanagar,6.87,1.2,184.0,2026-01-02 13:20:00
150,331,2026-01-02 13:15:00,Koramangala,MG Road,7.89,1.2,202.0,2026-01-02 13:38:00
151,141,2026-01-02 13:30:00,Whitefield,MG Road,5.43,1.5,197.0,2026-01-02 13:46:00
152,128,2026-01-02 13:45:00,MG Road,Indiranagar,18.94,1.0,334.0,2026-01-02 14:41:00
153,235,2026-01-02 14:00:00,MG Road,Koramangala,11.35,1.0,220.0,2026-01-02 14:34:00
154,301,2026-01-02 14:15:00,Indiranagar,Whitefield,3.44,1.2,122.0,2026-01-02 14:25:00
155,428,2026-01-02 14:30:00,MG Road,Whitefield,22.12,1.0,382.0,2026-01-02 15:36:00
156,368,2026-01-02 14:45:00,Whitefield,Indiranagar,14.83,1.5,409.0,2026-01-02 15:29:00
157,518,2026-01-02 15:00:00,Jayanagar,Indiranagar,9.62,1.0,194.0,2026-01-02 15:28:00
158,133,2026-01-02 15:15:00,Jayanagar,Whitefield,9.91,1.0,199.0,2026-01-02 15:44:00
159,148,2026-01-02 15:30:00,Jayanagar,Whitefield,8.68,1.2,216.0,2026-01-02 15:56:00
160,507,2026-01-02 15:45:00,Jayanagar,Koramangala,12.48,1.0,237.0,2026-01-02 16:22:00
161,162,2026-01-02 16:00:00,Indiranagar,MG Road,9.75,2.0,392.0,2026-01-02 16:29:00
162,316,2026-01-02 16:15:00,MG Road,Koramangala,14.6,2.0,538.0,2026-01-02 16:58:00
163,393,2026-01-02 16:30:00,Jayanagar,Whitefield,19.79,1.2,416.0,2026-01-02 17:29:00
164,199,2026-01-02 16:45:00,Koramangala,MG Road,17.51,1.0,313.0,2026-01-02 17:37:00
165,272,2026-01-02 17:00:00,Jayanagar,Whitefield,8.77,1.0,182.0,2026-01-02 17:26:00
166,460,2026-01-02 17:15:00,MG Road,Koramangala,14.16,1.0,262.0,2026-01-02 17:57:00
167,314,2026-01-02 17:30:00,Jayanagar,Koramangala,21.32,1.5,555.0,2026-01-02 18:33:00
168,575,2026-01-02 17:45:00,Indiranagar,Koramangala,3.57,1.0,104.0,2026-01-02 17:55:00
169,135,2026-01-02 18:00:00,Whitefield,MG Road,3.8,1.0,107.0,2026-01-02 18:11:00
170,549,2026-01-02 18:15:00,Whitefield,Jayanagar,14.79,1.0,272.0,2026-01-02 18:59:00
171,327,2026-01-02 18:30:00,MG Road,Jayanagar,16.7,1.0,300.0,2026-01-02 19:20:00
172,201,2026-01-02 18:45:00,Whitefield,Whitefield,6.86,1.5,229.0,2026-01-02 19:05:00
173,531,2026-01-02 19:00:00,Whitefield,MG Road,19.14,1.0,337.0,2026-01-02 19:57:00
174,562,2026-01-02 19:15:00,Koramangala,Indiranagar,16.86,1.0,303.0,2026-01-02 20:05:00
175,231,2026-01-02 19:30:00,MG Road,Jayanagar,23.24,1.2,478.0,2026-01-02 20:39:00
176,357,2026-01-02 19:45:00,MG Road,MG Road,5.89,1.5,208.0,2026-01-02 20:02:00
177,105,2026-01-02 20:00:00,Whitefield,MG Road,19.28,1.5,509.0,2026-01-02 20:57:00
178,318,2026-01-02 20:15:00,Whitefield,Jayanagar,3.92,1.2,131.0,2026-01-02 20:26:00
179,355,2026-01-02 20:30:00,Whitefield,MG Road,15.0,1.0,275.0,2026-01-02 21:15:00
